,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
1170,16-03-2009,Monday,19,17,9,64,10,none
1171,17-03-2009,Tuesday,19,58,24,60,4,none
1172,18-03-2009,Wednesday,23,53,57,35,17,none
1173,19-03-2009,Thursday,16,23,86,51,66,promotion
1174,20-03-2009,Friday,16,36,57,58,42,promotion
1175,21-03-2009,Saturday,29,51,113,33,33,promotion
1176,22-03-2009,Sunday,8,36,56,64,58,promotion
1177,23-03-2009,Monday,28,17,111,25,73,promotion
1178,24-03-2009,Tuesday,25,54,94,32,45,promotion
1179,25-03-2009,Wednesday,25,28,9,68,87,promotion
1180,26-03-2009,Thursday,13,33,22,49,57,none
1181,27-03-2009,Friday,14,48,117,59,92,promotion
1182,28-03-2009,Saturday,19,3,77,65,6,none
1183,29-03-2009,Sunday,15,12,110,11,30,none
1184,30-03-2009,Monday,15,19,44,30,89,none
1185,31-03-2009,Tuesday,21,25,10,34,18,none
1186,01-04-2009,Wednesday,8,25,76,28,36,none
1187,02-04-2009,Thursday,45,1,34,22,44,none
1188,03-04-2009,Friday,44,46,46,73,52,promotion
1189,04-04-2009,Saturday,28,9,106,24,76,promotion
1190,05-04-2009,Sunday,45,24,52,36,94,promotion
1191,06-04-2009,Monday,16,2,113,55,64,promotion
1192,07-04-2009,Tuesday,24,30,89,52,57,promotion
1193,08-04-2009,Wednesday,12,48,72,51,20,promotion
1194,09-04-2009,Thursday,14,39,86,25,95,promotion
1195,10-04-2009,Friday,30,39,30,27,21,none
1196,11-04-2009,Saturday,32,45,107,29,40,promotion
1197,12-04-2009,Sunday,47,51,104,47,17,promotion
1198,13-04-2009,Monday,19,51,103,39,75,promotion
1199,14-04-2009,Tuesday,5,18,88,68,37,promotion
1200,15-04-2009,Wednesday,29,20,67,16,86,promotion
1201,16-04-2009,Thursday,2,26,43,24,43,none
1202,17-04-2009,Friday,24,6,38,62,65,none
1203,18-04-2009,Saturday,17,47,116,18,83,promotion
1204,19-04-2009,Sunday,42,22,114,59,20,promotion
1205,20-04-2009,Monday,27,35,71,39,59,promotion
1206,21-04-2009,Tuesday,49,34,21,52,13,none
1207,22-04-2009,Wednesday,3,39,50,48,94,promotion
1208,23-04-2009,Thursday,48,51,101,11,1,promotion
1209,24-04-2009,Friday,18,28,39,6,71,none
1210,25-04-2009,Saturday,21,42,86,67,20,promotion
1211,26-04-2009,Sunday,39,38,42,15,10,none
1212,27-04-2009,Monday,1,50,82,53,17,promotion
1213,28-04-2009,Tuesday,7,5,33,65,15,none
1214,29-04-2009,Wednesday,45,20,48,30,62,promotion
1215,30-04-2009,Thursday,23,52,83,21,66,promotion
1216,01-05-2009,Friday,16,34,28,70,30,none
1217,02-05-2009,Saturday,11,22,76,4,50,none
1218,03-05-2009,Sunday,35,5,86,6,20,none
1219,04-05-2009,Monday,41,52,73,23,22,promotion
1220,05-05-2009,Tuesday,39,26,63,68,59,promotion
1221,06-05-2009,Wednesday,22,52,88,13,25,none
1222,07-05-2009,Thursday,35,8,41,1,85,none
1223,08-05-2009,Friday,33,57,84,33,94,promotion
1224,09-05-2009,Saturday,43,37,21,39,39,none
1225,10-05-2009,Sunday,45,52,92,69,70,promotion
1226,11-05-2009,Monday,36,32,7,41,82,none
1227,12-05-2009,Tuesday,42,48,42,69,9,promotion
1228,13-05-2009,Wednesday,40,3,93,11,47,none
1229,14-05-2009,Thursday,28,58,113,30,96,promotion
1230,15-05-2009,Friday,49,26,76,17,95,promotion
1231,16-05-2009,Saturday,11,13,7,17,99,none
1232,17-05-2009,Sunday,5,53,81,10,86,promotion
1233,18-05-2009,Monday,18,58,32,22,38,none
1234,19-05-2009,Tuesday,4,6,46,56,48,none
1235,20-05-2009,Wednesday,38,36,72,28,89,promotion
1236,21-05-2009,Thursday,31,31,37,42,55,none
1237,22-05-2009,Friday,24,53,26,74,99,promotion
1238,23-05-2009,Saturday,30,53,30,36,51,none
1239,24-05-2009,Sunday,39,10,119,64,4,promotion
1240,25-05-2009,Monday,31,50,47,59,12,none
1241,26-05-2009,Tuesday,12,52,70,11,32,none
1242,27-05-2009,Wednesday,3,18,58,54,19,none
1243,28-05-2009,Thursday,30,57,64,65,27,promotion
1244,29-05-2009,Friday,8,30,73,23,37,none
1245,30-05-2009,Saturday,10,12,69,44,57,none
1246,31-05-2009,Sunday,24,35,34,73,63,promotion
1247,01-06-2009,Monday,1,44,38,29,22,none
1248,02-06-2009,Tuesday,49,57,2,53,95,promotion
1249,03-06-2009,Wednesday,18,59,24,1,66,none
1250,04-06-2009,Thursday,41,44,50,66,54,promotion
1251,05-06-2009,Friday,22,34,13,13,28,none
1252,06-06-2009,Saturday,31,59,2,45,45,none
1253,07-06-2009,Sunday,27,29,72,52,14,none
1254,08-06-2009,Monday,16,23,93,11,19,none
1255,09-06-2009,Tuesday,49,26,9,61,68,promotion
1256,10-06-2009,Wednesday,18,28,47,45,23,none
1257,11-06-2009,Thursday,11,18,37,20,98,none
1258,12-06-2009,Friday,18,34,49,62,20,none
1259,13-06-2009,Saturday,4,34,57,51,95,promotion
1260,14-06-2009,Sunday,40,53,42,59,55,promotion
1261,15-06-2009,Monday,10,26,89,61,17,promotion
1262,16-06-2009,Tuesday,30,21,65,20,16,none
1263,17-06-2009,Wednesday,4,8,99,74,48,promotion
1264,18-06-2009,Thursday,8,1,46,14,31,none
1265,19-06-2009,Friday,17,13,46,70,1,none
1266,20-06-2009,Saturday,35,50,16,59,43,promotion
1267,21-06-2009,Sunday,5,8,40,44,17,none
1268,22-06-2009,Monday,27,45,3,37,88,none
1269,23-06-2009,Tuesday,37,24,43,31,81,promotion
1270,24-06-2009,Wednesday,7,39,12,57,77,none
1271,25-06-2009,Thursday,33,3,112,1,61,promotion
1272,26-06-2009,Friday,18,10,69,30,47,none
1273,27-06-2009,Saturday,38,31,96,12,65,promotion
1274,28-06-2009,Sunday,28,51,111,50,1,promotion
1275,29-06-2009,Monday,15,27,71,43,66,promotion
1276,30-06-2009,Tuesday,23,13,61,6,28,none
1277,01-07-2009,Wednesday,32,19,67,10,35,none
1278,02-07-2009,Thursday,9,40,58,28,23,none
1279,03-07-2009,Friday,30,50,75,47,51,promotion
1280,04-07-2009,Saturday,29,30,101,44,97,promotion
1281,05-07-2009,Sunday,32,59,43,16,12,none
1282,06-07-2009,Monday,35,47,46,64,72,promotion
1283,07-07-2009,Tuesday,18,39,82,36,93,promotion
1284,08-07-2009,Wednesday,29,56,111,11,33,promotion
1285,09-07-2009,Thursday,48,7,77,8,98,promotion
1286,10-07-2009,Friday,17,3,105,15,26,none
1287,11-07-2009,Saturday,9,50,18,36,27,none
1288,12-07-2009,Sunday,45,14,48,11,6,none
1289,13-07-2009,Monday,8,57,54,7,18,none
1290,14-07-2009,Tuesday,13,52,8,28,99,none
1291,15-07-2009,Wednesday,33,17,76,23,57,promotion
1292,16-07-2009,Thursday,21,32,27,51,39,none
1293,17-07-2009,Friday,44,9,23,13,5,none
1294,18-07-2009,Saturday,12,42,101,58,48,promotion
1295,19-07-2009,Sunday,30,40,114,35,51,promotion
1296,20-07-2009,Monday,41,32,92,43,45,promotion
1297,21-07-2009,Tuesday,1,26,77,50,87,promotion
1298,22-07-2009,Wednesday,21,19,72,21,28,none
1299,23-07-2009,Thursday,46,20,83,26,59,promotion
1300,24-07-2009,Friday,29,29,64,17,65,promotion
1301,25-07-2009,Saturday,14,2,82,47,53,none
1302,26-07-2009,Sunday,38,58,55,65,3,promotion
1303,27-07-2009,Monday,48,27,8,29,67,none
1304,28-07-2009,Tuesday,40,52,55,70,21,promotion
1305,29-07-2009,Wednesday,5,31,72,59,57,promotion
1306,30-07-2009,Thursday,47,22,9,27,84,none
1307,31-07-2009,Friday,13,53,85,56,31,promotion
1308,01-08-2009,Saturday,38,12,50,5,29,none
1309,02-08-2009,Sunday,49,36,12,70,97,promotion
1310,03-08-2009,Monday,5,35,89,69,28,promotion
1311,04-08-2009,Tuesday,42,55,51,19,48,promotion
1312,05-08-2009,Wednesday,37,1,27,29,96,none
1313,06-08-2009,Thursday,17,58,14,60,63,promotion
1314,07-08-2009,Friday,19,25,113,66,75,promotion
1315,08-08-2009,Saturday,38,47,45,3,45,none
1316,09-08-2009,Sunday,31,33,13,48,35,none
1317,10-08-2009,Monday,47,41,76,65,63,promotion
1318,11-08-2009,Tuesday,36,59,79,72,29,promotion
1319,12-08-2009,Wednesday,49,5,20,70,77,promotion
1320,13-08-2009,Thursday,1,30,35,28,63,none
1321,14-08-2009,Friday,10,52,19,67,60,promotion
1322,15-08-2009,Saturday,34,55,103,65,75,promotion
1323,16-08-2009,Sunday,49,57,61,5,9,none
1324,17-08-2009,Monday,13,53,66,43,3,none
1325,18-08-2009,Tuesday,7,19,32,32,62,none
1326,19-08-2009,Wednesday,37,53,70,41,31,promotion
1327,20-08-2009,Thursday,36,38,52,6,76,promotion
1328,21-08-2009,Friday,39,40,104,68,18,promotion
1329,22-08-2009,Saturday,37,3,113,24,22,none
1330,23-08-2009,Sunday,31,52,9,30,39,none
1331,24-08-2009,Monday,20,34,33,35,81,promotion
1332,25-08-2009,Tuesday,39,26,7,62,57,none
1333,26-08-2009,Wednesday,45,28,34,39,83,promotion
1334,27-08-2009,Thursday,36,46,1,52,45,none
1335,28-08-2009,Friday,15,23,4,56,38,none
1336,29-08-2009,Saturday,30,43,64,72,89,promotion
1337,30-08-2009,Sunday,18,50,42,26,45,none
1338,31-08-2009,Monday,4,7,54,47,74,none
1339,01-09-2009,Tuesday,30,54,48,50,48,promotion
1340,02-09-2009,Wednesday,28,30,59,49,86,promotion
1341,03-09-2009,Thursday,4,33,70,15,84,promotion
1342,04-09-2009,Friday,34,40,45,69,63,promotion
1343,05-09-2009,Saturday,28,24,99,63,65,promotion
1344,06-09-2009,Sunday,37,38,2,5,47,none
1345,07-09-2009,Monday,22,11,104,28,77,promotion
1346,08-09-2009,Tuesday,40,10,12,45,28,none
1347,09-09-2009,Wednesday,43,2,115,69,50,promotion
1348,10-09-2009,Thursday,11,1,14,7,73,none
1349,11-09-2009,Friday,30,4,13,43,77,none
1350,12-09-2009,Saturday,30,26,77,25,13,none
1351,13-09-2009,Sunday,25,41,18,57,23,none
1352,14-09-2009,Monday,17,13,60,53,98,promotion
1353,15-09-2009,Tuesday,1,4,42,48,77,none
1354,16-09-2009,Wednesday,37,35,53,49,63,promotion
1355,17-09-2009,Thursday,35,28,90,32,7,none
1356,18-09-2009,Friday,14,50,108,25,86,promotion
1357,19-09-2009,Saturday,2,2,36,55,13,none
1358,20-09-2009,Sunday,3,9,27,5,86,none
1359,21-09-2009,Monday,3,39,56,39,46,none
1360,22-09-2009,Tuesday,20,34,63,59,13,none
1361,23-09-2009,Wednesday,13,44,99,60,46,promotion
1362,24-09-2009,Thursday,31,32,54,30,47,none
1363,25-09-2009,Friday,40,30,73,63,81,promotion
1364,26-09-2009,Saturday,22,49,43,4,30,none
1365,27-09-2009,Sunday,14,46,72,3,30,none
1366,28-09-2009,Monday,27,14,14,2,2,none
1367,29-09-2009,Tuesday,13,15,9,51,60,none
1368,30-09-2009,Wednesday,1,29,27,15,99,none
1369,01-10-2009,Thursday,2,17,84,30,29,none
1370,02-10-2009,Friday,37,36,48,62,55,promotion
1371,03-10-2009,Saturday,11,25,116,25,38,promotion
1372,04-10-2009,Sunday,43,46,58,24,19,none
1373,05-10-2009,Monday,33,7,31,41,93,promotion
1374,06-10-2009,Tuesday,29,19,76,5,47,none
1375,07-10-2009,Wednesday,3,57,55,15,81,promotion
1376,08-10-2009,Thursday,29,34,116,65,10,promotion
1377,09-10-2009,Friday,2,9,57,28,26,none
1378,10-10-2009,Saturday,14,15,50,3,98,none
1379,11-10-2009,Sunday,20,19,100,43,25,promotion
1380,12-10-2009,Monday,48,42,20,20,88,promotion
1381,13-10-2009,Tuesday,18,40,23,68,66,promotion
1382,14-10-2009,Wednesday,37,25,101,25,73,promotion
1383,15-10-2009,Thursday,8,13,20,39,85,none
1384,16-10-2009,Friday,7,10,117,12,95,promotion
1385,17-10-2009,Saturday,10,49,48,1,62,none
1386,18-10-2009,Sunday,16,34,51,50,28,none
1387,19-10-2009,Monday,19,50,99,33,28,promotion
1388,20-10-2009,Tuesday,30,34,74,6,44,none
1389,21-10-2009,Wednesday,43,51,44,55,77,promotion
1390,22-10-2009,Thursday,19,25,19,1,98,none
1391,23-10-2009,Friday,3,16,53,59,50,none
1392,24-10-2009,Saturday,30,47,109,28,74,promotion
1393,25-10-2009,Sunday,18,40,6,52,27,none
1394,26-10-2009,Monday,36,7,27,63,46,none
1395,27-10-2009,Tuesday,20,18,16,62,7,none
1396,28-10-2009,Wednesday,17,9,32,60,79,none
1397,29-10-2009,Thursday,24,48,12,39,88,promotion
1398,30-10-2009,Friday,13,2,3,47,74,none
1399,31-10-2009,Saturday,36,8,56,32,3,none
1400,01-11-2009,Sunday,46,21,43,51,53,promotion
1401,02-11-2009,Monday,3,41,79,38,39,none
1402,03-11-2009,Tuesday,21,9,13,40,47,none
1403,04-11-2009,Wednesday,4,53,75,1,84,promotion
1404,05-11-2009,Thursday,18,1,72,50,63,promotion
1405,06-11-2009,Friday,45,56,23,1,62,none
1406,07-11-2009,Saturday,39,42,56,61,29,promotion
1407,08-11-2009,Sunday,43,3,80,27,83,promotion
1408,09-11-2009,Monday,11,33,53,65,53,promotion
1409,10-11-2009,Tuesday,38,23,68,48,85,promotion
1410,11-11-2009,Wednesday,43,11,80,53,3,none
1411,12-11-2009,Thursday,41,31,108,37,65,promotion
1412,13-11-2009,Friday,48,9,97,58,91,promotion
1413,14-11-2009,Saturday,28,22,3,27,93,none
1414,15-11-2009,Sunday,5,56,111,56,30,promotion
1415,16-11-2009,Monday,23,58,26,58,63,promotion
1416,17-11-2009,Tuesday,38,46,110,22,41,promotion
1417,18-11-2009,Wednesday,36,4,60,70,62,promotion
1418,19-11-2009,Thursday,31,6,7,55,67,none
1419,20-11-2009,Friday,8,28,14,22,58,none
1420,21-11-2009,Saturday,25,27,111,41,12,promotion
1421,22-11-2009,Sunday,25,13,77,15,27,none
1422,23-11-2009,Monday,48,1,115,70,45,promotion
1423,24-11-2009,Tuesday,16,4,95,19,65,none
1424,25-11-2009,Wednesday,11,44,90,35,31,promotion
1425,26-11-2009,Thursday,20,33,47,25,17,none
1426,27-11-2009,Friday,14,41,2,15,54,none
1427,28-11-2009,Saturday,40,21,56,16,22,none
1428,29-11-2009,Sunday,38,15,80,24,73,promotion
1429,30-11-2009,Monday,40,25,52,66,57,promotion
1430,01-12-2009,Tuesday,19,4,73,63,12,none
1431,02-12-2009,Wednesday,8,33,109,32,25,promotion
1432,03-12-2009,Thursday,25,10,92,1,48,none
1433,04-12-2009,Friday,33,7,65,45,52,promotion
1434,05-12-2009,Saturday,45,4,44,55,82,promotion
1435,06-12-2009,Sunday,40,59,37,68,37,promotion
1436,07-12-2009,Monday,41,29,60,66,57,promotion
1437,08-12-2009,Tuesday,48,4,93,41,13,none
1438,09-12-2009,Wednesday,37,16,43,25,17,none
1439,10-12-2009,Thursday,43,33,44,28,21,none
1440,11-12-2009,Friday,17,39,107,39,79,promotion
1441,12-12-2009,Saturday,27,45,84,50,32,promotion
1442,13-12-2009,Sunday,41,29,35,27,39,none
1443,14-12-2009,Monday,17,54,70,13,99,promotion
1444,15-12-2009,Tuesday,47,51,99,58,86,promotion
1445,16-12-2009,Wednesday,33,6,35,24,83,none
1446,17-12-2009,Thursday,31,2,66,42,51,none
1447,18-12-2009,Friday,21,18,97,34,34,promotion
1448,19-12-2009,Saturday,24,48,1,29,47,none
1449,20-12-2009,Sunday,16,9,64,45,65,none
1450,21-12-2009,Monday,45,10,102,4,16,none
1451,22-12-2009,Tuesday,20,53,3,3,94,none
1452,23-12-2009,Wednesday,35,14,70,52,53,promotion
1453,24-12-2009,Thursday,28,49,58,67,89,promotion
1454,25-12-2009,Friday,46,42,77,66,59,promotion
1455,26-12-2009,Saturday,35,25,2,65,17,none
1456,27-12-2009,Sunday,18,5,8,55,1,none
1457,28-12-2009,Monday,24,8,40,64,25,none
1458,29-12-2009,Tuesday,28,6,35,26,87,none
1459,30-12-2009,Wednesday,14,40,109,30,90,promotion
1460,31-12-2009,Thursday,49,21,96,56,42,promotion
1461,01-01-2010,Friday,24,4,89,23,72,promotion
1462,02-01-2010,Saturday,31,2,79,68,2,none
1463,03-01-2010,Sunday,6,10,57,41,17,none
1464,04-01-2010,Monday,40,27,52,63,79,promotion
1465,05-01-2010,Tuesday,34,2,115,27,24,promotion
1466,06-01-2010,Wednesday,35,41,96,55,13,promotion
1467,07-01-2010,Thursday,29,49,119,53,54,promotion
1468,08-01-2010,Friday,2,39,22,40,19,none
1469,09-01-2010,Saturday,5,47,84,60,83,promotion
1470,10-01-2010,Sunday,22,22,32,42,37,none
1471,11-01-2010,Monday,9,13,88,14,85,promotion
1472,12-01-2010,Tuesday,34,7,49,59,68,promotion
1473,13-01-2010,Wednesday,36,33,50,61,54,promotion
1474,14-01-2010,Thursday,49,43,61,74,56,promotion
1475,15-01-2010,Friday,36,21,62,54,18,none
1476,16-01-2010,Saturday,26,13,100,6,87,promotion
1477,17-01-2010,Sunday,6,23,51,64,83,promotion
1478,18-01-2010,Monday,2,21,33,58,36,none
1479,19-01-2010,Tuesday,36,46,65,35,35,promotion
1480,20-01-2010,Wednesday,8,34,102,72,5,promotion
1481,21-01-2010,Thursday,2,33,21,30,95,none
1482,22-01-2010,Friday,2,10,73,48,43,none
1483,23-01-2010,Saturday,8,37,44,45,54,none
1484,24-01-2010,Sunday,26,4,70,29,98,promotion
1485,25-01-2010,Monday,37,42,41,2,16,none
1486,26-01-2010,Tuesday,14,9,113,1,28,none
1487,27-01-2010,Wednesday,45,29,26,50,70,promotion
1488,28-01-2010,Thursday,28,52,71,9,88,promotion
1489,29-01-2010,Friday,33,14,19,74,84,promotion
1490,30-01-2010,Saturday,44,24,88,44,14,promotion
1491,31-01-2010,Sunday,20,8,70,37,58,none
1492,01-02-2010,Monday,35,52,75,33,21,promotion
1493,02-02-2010,Tuesday,46,13,100,1,27,none
1494,03-02-2010,Wednesday,37,3,54,60,96,promotion
1495,04-02-2010,Thursday,17,37,51,74,16,none
1496,05-02-2010,Friday,49,46,21,43,82,promotion
1497,06-02-2010,Saturday,43,14,65,1,39,none
1498,07-02-2010,Sunday,44,24,46,47,83,promotion
1499,08-02-2010,Monday,4,40,96,33,39,promotion
1500,09-02-2010,Tuesday,9,58,8,38,17,none
1501,10-02-2010,Wednesday,20,55,81,24,90,promotion
1502,11-02-2010,Thursday,47,10,100,21,43,promotion
1503,12-02-2010,Friday,1,40,102,9,14,none
1504,13-02-2010,Saturday,21,16,82,42,48,promotion
1505,14-02-2010,Sunday,33,12,63,15,12,none
1506,15-02-2010,Monday,35,10,56,65,44,promotion
1507,16-02-2010,Tuesday,44,2,81,52,19,none
1508,17-02-2010,Wednesday,6,27,21,16,18,none
1509,18-02-2010,Thursday,22,12,36,12,95,none
1510,19-02-2010,Friday,25,32,36,49,90,promotion
1511,20-02-2010,Saturday,3,49,24,12,6,none
1512,21-02-2010,Sunday,8,59,89,68,53,promotion
1513,22-02-2010,Monday,45,12,58,57,89,promotion
1514,23-02-2010,Tuesday,12,2,11,68,54,none
1515,24-02-2010,Wednesday,29,58,22,35,37,none
1516,25-02-2010,Thursday,32,9,85,46,4,none
1517,26-02-2010,Friday,2,26,106,16,3,none
1518,27-02-2010,Saturday,17,57,92,18,93,promotion
1519,28-02-2010,Sunday,19,31,21,59,2,none
1520,01-03-2010,Monday,15,34,102,24,20,none
1521,02-03-2010,Tuesday,22,45,112,34,30,promotion
1522,03-03-2010,Wednesday,48,24,85,58,42,promotion
1523,04-03-2010,Thursday,48,21,83,74,51,promotion
1524,05-03-2010,Friday,6,50,20,72,95,promotion
1525,06-03-2010,Saturday,34,9,75,54,45,promotion
1526,07-03-2010,Sunday,43,1,72,34,65,promotion
1527,08-03-2010,Monday,3,35,43,33,96,promotion
1528,09-03-2010,Tuesday,28,31,64,16,63,promotion
1529,10-03-2010,Wednesday,41,39,106,4,86,promotion
1530,11-03-2010,Thursday,20,21,96,28,92,promotion
1531,12-03-2010,Friday,16,38,79,38,85,promotion
1532,13-03-2010,Saturday,8,23,94,50,68,promotion
1533,14-03-2010,Sunday,45,43,52,48,1,none
1534,15-03-2010,Monday,30,49,116,3,95,promotion
1535,16-03-2010,Tuesday,36,23,32,55,48,none
1536,17-03-2010,Wednesday,34,42,34,12,23,none
1537,18-03-2010,Thursday,49,21,95,13,73,promotion
1538,19-03-2010,Friday,17,44,104,65,74,promotion
1539,20-03-2010,Saturday,25,8,119,12,93,promotion
1540,21-03-2010,Sunday,6,2,108,16,8,none
1541,22-03-2010,Monday,43,57,34,40,99,promotion
1542,23-03-2010,Tuesday,20,46,30,55,45,none
1543,24-03-2010,Wednesday,18,31,9,62,78,none
1544,25-03-2010,Thursday,46,13,36,57,91,promotion
1545,26-03-2010,Friday,33,6,7,49,59,none
1546,27-03-2010,Saturday,23,57,73,32,17,promotion
1547,28-03-2010,Sunday,34,22,110,65,61,promotion
1548,29-03-2010,Monday,39,6,35,36,6,none
1549,30-03-2010,Tuesday,10,17,75,36,47,none
1550,31-03-2010,Wednesday,6,44,63,47,71,promotion
1551,01-04-2010,Thursday,13,24,59,38,43,none
1552,02-04-2010,Friday,43,41,117,71,45,promotion
1553,03-04-2010,Saturday,17,38,51,55,78,promotion
1554,04-04-2010,Sunday,18,48,103,68,90,promotion
1555,05-04-2010,Monday,5,49,25,27,23,none
1556,06-04-2010,Tuesday,26,40,62,3,60,none
1557,07-04-2010,Wednesday,15,41,26,42,77,promotion
1558,08-04-2010,Thursday,46,39,95,69,56,promotion
1559,09-04-2010,Friday,18,44,74,32,25,none
1560,10-04-2010,Saturday,30,59,53,73,5,promotion
1561,11-04-2010,Sunday,7,49,31,39,17,none
1562,12-04-2010,Monday,29,1,44,20,61,none
1563,13-04-2010,Tuesday,11,10,99,17,72,promotion
1564,14-04-2010,Wednesday,6,16,28,16,37,none
1565,15-04-2010,Thursday,37,53,8,65,91,promotion
1566,16-04-2010,Friday,37,45,26,61,90,promotion
1567,17-04-2010,Saturday,21,54,81,71,62,promotion
1568,18-04-2010,Sunday,23,5,53,15,26,none
1569,19-04-2010,Monday,11,29,53,39,96,promotion
1570,20-04-2010,Tuesday,44,50,109,19,91,promotion
1571,21-04-2010,Wednesday,31,36,67,53,1,none
1572,22-04-2010,Thursday,15,21,55,26,49,none
1573,23-04-2010,Friday,49,7,31,42,39,none
1574,24-04-2010,Saturday,2,42,5,59,96,promotion
1575,25-04-2010,Sunday,41,32,73,39,11,none
1576,26-04-2010,Monday,8,26,113,49,39,promotion
1577,27-04-2010,Tuesday,6,17,21,42,3,none
1578,28-04-2010,Wednesday,16,5,48,55,18,none
1579,29-04-2010,Thursday,42,47,98,2,5,none
1580,30-04-2010,Friday,33,14,62,10,60,none
1581,01-05-2010,Saturday,24,34,71,13,53,none
1582,02-05-2010,Sunday,15,18,30,49,98,promotion
1583,03-05-2010,Monday,35,48,71,54,4,promotion
1584,04-05-2010,Tuesday,30,2,37,70,54,none
1585,05-05-2010,Wednesday,26,26,91,57,83,promotion
1586,06-05-2010,Thursday,5,48,34,60,76,promotion
1587,07-05-2010,Friday,1,23,85,30,4,none
1588,08-05-2010,Saturday,27,43,80,3,8,none
1589,09-05-2010,Sunday,21,23,57,31,99,promotion
1590,10-05-2010,Monday,6,18,12,35,76,none
1591,11-05-2010,Tuesday,25,4,16,59,47,none
1592,12-05-2010,Wednesday,18,20,107,20,63,promotion
1593,13-05-2010,Thursday,5,47,22,24,35,none
1594,14-05-2010,Friday,33,30,92,17,49,promotion
1595,15-05-2010,Saturday,18,55,44,33,51,promotion
1596,16-05-2010,Sunday,9,5,83,66,57,promotion
1597,17-05-2010,Monday,10,21,11,14,52,none
1598,18-05-2010,Tuesday,37,46,13,31,21,none
1599,19-05-2010,Wednesday,32,31,49,36,14,none
1600,20-05-2010,Thursday,31,45,119,45,77,promotion
1601,21-05-2010,Friday,10,16,119,32,48,promotion
1602,22-05-2010,Saturday,45,34,115,42,28,promotion
1603,23-05-2010,Sunday,49,5,3,57,9,none
1604,24-05-2010,Monday,36,20,76,2,90,promotion
1605,25-05-2010,Tuesday,33,38,7,16,53,none
1606,26-05-2010,Wednesday,15,53,98,32,78,promotion
1607,27-05-2010,Thursday,24,1,88,67,2,none
1608,28-05-2010,Friday,33,18,118,1,32,promotion
1609,29-05-2010,Saturday,29,18,106,1,15,none
1610,30-05-2010,Sunday,44,50,95,11,33,promotion
1611,31-05-2010,Monday,34,40,62,17,54,promotion
1612,01-06-2010,Tuesday,47,41,64,12,38,promotion
1613,02-06-2010,Wednesday,45,19,27,61,91,promotion
1614,03-06-2010,Thursday,9,6,43,23,25,none
1615,04-06-2010,Friday,38,35,89,64,85,promotion
1616,05-06-2010,Saturday,3,4,4,70,56,none
1617,06-06-2010,Sunday,18,59,85,68,18,promotion
1618,07-06-2010,Monday,16,1,88,20,59,none
1619,08-06-2010,Tuesday,4,56,76,71,91,promotion
1620,09-06-2010,Wednesday,22,36,5,52,77,none
1621,10-06-2010,Thursday,49,26,54,18,46,none
1622,11-06-2010,Friday,30,21,44,56,2,none
1623,12-06-2010,Saturday,38,30,115,17,3,promotion
1624,13-06-2010,Sunday,23,2,71,26,84,promotion
1625,14-06-2010,Monday,19,15,94,55,27,promotion
1626,15-06-2010,Tuesday,8,45,75,42,60,promotion
1627,16-06-2010,Wednesday,27,39,89,25,38,promotion
1628,17-06-2010,Thursday,5,5,59,11,72,none
1629,18-06-2010,Friday,46,7,86,27,23,none
1630,19-06-2010,Saturday,26,18,74,56,69,promotion
1631,20-06-2010,Sunday,27,30,39,1,91,none
1632,21-06-2010,Monday,48,57,75,4,43,promotion
1633,22-06-2010,Tuesday,20,2,74,63,14,none
1634,23-06-2010,Wednesday,15,17,38,29,69,none
1635,24-06-2010,Thursday,19,3,76,11,87,none
1636,25-06-2010,Friday,33,15,20,73,53,none
1637,26-06-2010,Saturday,28,43,101,62,37,promotion
1638,27-06-2010,Sunday,37,50,48,22,76,promotion
1639,28-06-2010,Monday,39,25,54,48,12,none
1640,29-06-2010,Tuesday,21,6,61,25,73,none
1641,30-06-2010,Wednesday,45,58,115,35,47,promotion
1642,01-07-2010,Thursday,4,22,47,65,44,none
1643,02-07-2010,Friday,19,9,30,39,52,none
1644,03-07-2010,Saturday,14,9,29,46,93,none
1645,04-07-2010,Sunday,32,34,40,37,95,promotion
1646,05-07-2010,Monday,34,6,71,2,88,promotion
1647,06-07-2010,Tuesday,19,33,3,41,15,none
1648,07-07-2010,Wednesday,13,54,10,25,64,none
1649,08-07-2010,Thursday,48,1,100,65,32,promotion
1650,09-07-2010,Friday,28,44,9,30,63,none
1651,10-07-2010,Saturday,40,52,9,63,87,promotion
1652,11-07-2010,Sunday,35,7,4,45,18,none
1653,12-07-2010,Monday,8,15,81,67,80,promotion
1654,13-07-2010,Tuesday,31,38,73,19,51,promotion
1655,14-07-2010,Wednesday,46,29,74,73,37,promotion
1656,15-07-2010,Thursday,17,17,28,5,78,none
1657,16-07-2010,Friday,2,54,119,20,66,promotion
1658,17-07-2010,Saturday,25,30,24,10,9,none
1659,18-07-2010,Sunday,17,53,117,65,62,promotion
1660,19-07-2010,Monday,46,19,28,39,14,none
1661,20-07-2010,Tuesday,28,30,59,23,81,promotion
1662,21-07-2010,Wednesday,38,57,27,26,18,none
1663,22-07-2010,Thursday,25,59,28,28,78,promotion
1664,23-07-2010,Friday,49,38,65,18,59,promotion
1665,24-07-2010,Saturday,13,4,66,62,19,none
1666,25-07-2010,Sunday,5,43,23,59,30,none
1667,26-07-2010,Monday,49,11,32,71,39,promotion
